id,title,commemorating,date_of_incident,description,inscription,address,location_guide,map_grid_ref,previous_location,nature,physical_type,physical_materials,setting,access,post_unveiling,commissioned_by,artist(s),date_unveiled,comments,gps_x,gps_y
1429,Hunger Strike Installation (Downpatrick),"The ten Republicans who died on Hunger Strike in 1981.
 Person(s) commemorated",05 May 1981,Large 'H'-shaped brick built memorial.,No inscription,"Ballymote Walk, Colmcille Road, Downpatrick,  County Down, Northern Ireland. BT30 ???",On a green in front of Ballymote Walk; just off the Killough Road (B1),IJ491434,,"Paramilitary, Republican, IRA, INLA","Other, Installation, 'H'-Shaped",Stone Brick,Street,Public Unrestricted,Originally the memorial held the protraits of the ten Republican Hunger Strikers. The installation has suffered some damage.,,,,,54.31745038158248,-5.7099051341966955
1430,IRA Memorial (Castlewellan),"The memorial commemorates ten IRA members from the South Down area who were killed in the conflict.
 Person(s) commemorated",26 January 1972,Two stone plaques built into a supporting wall situated on a small area of gravel with kerb stone surrounds.,Two main inscriptions.,"Lower Square, Main Street, Castlewellan,  County Down, Northern Ireland. BT31 ???",On a green in the centre of the Castlewellan; at the junction of Main Street (A25) and Newcastle Road (A50).,IJ340361,,"Paramilitary, Republican, IRA",Memorial Enclosure,Stone Granite,Street,Public Unrestricted,,,,,,54.25648217919754,-5.945179501162051
1431,La Mon Hotel Memorial Garden and Bench,"The 12 Protestant civilians killed in an IRA bomb attack on the La Mon House Hotel.
 Person(s) commemorated",17 February 1978,"Small memorial garden, containing a 'love seat' on which is a metal plaque with a dedication and the names of those killed.",Single inscription with the names of the people killed in the explosion.,"La Mon Hotel, 41 Gransha Road, Gransha,  County Down, Northern Ireland. BT23 5RF","Next to the car park of La Mon Hotel, off the Gransha Road, about 3 kilometres from the junction of the Moneyreagh Raod (A23) and the Gransha Road.  South-east of the centre of Belfast.",IJ412687,,Civilian,"Memorial Garden, and Bench with Plaque","Metal (Brass), Wood, Hard Landscaping, Plants",Garden,Private Unrestricted,,La Mon Hotel ??,,,,54.5472914663601,-5.818064709427916
1432,RUC Memorial Plaque (Newry PSNI Station),"RUC officers assigned to the Newry District killed during the conflict.
 Person(s) commemorated",,Large double plaque on a wall inside Newry police station.,A set of names and dates on each plaque.,"STREET NAME?? Newry,  County Down, Northern Ireland. BT35 ???",,,,"British Security, British Police, RUC",Plaque,Stone Marble,Police Station,Private Restricted (viewable only by appointment),,,,,No visit arranged yet. The black and white photograph was provided courtsey of Bobbie Hanvey.,,
1433,Michael Hughes Memorial,"IRA member Michael Hughes.
 Person(s) commemorated",18 October 1974,Memorial stone set in a small enclosure with walls on three sides; also includes four individual stones with the shields of the four provinces of Ireland.  Also single flagepole.,Inscription in English and Irish,"Main Avenue, Derrybeg, Newry,  County Down, Northern Ireland. BT35 ???","At the junction of Main Avenue and the Camlough Road (A25), not far from the junction of Camlough Road (A25) and the Newry Bypass (A1).",IJ073275,,"Paramilitary, Republican, IRA",Memorial Stone,"Stone Granite, Hard Landscaping",Street,Public Unrestricted,,,,2000,,54.185008246890405,-6.356869562874052
1434,Hunger Strike Memorial (A1 Newry Bypass),"The ten Republicans who died on Hunger Strike in 1981.
 Person(s) commemorated",05 May 1981,Set of ten white crosses with a small hoarding.,Short inscription.,"Newry Bypass (A1), Newry,  County Down, Northern Ireland.",At the side of the Newry bypass (A1).,IJ074193,,"Paramilitary, Republican, IRA, INLA","Other, Cross, Celtic Crosses",Wood,Road,Public Unrestricted.,"The memorial was vandalised on 12? August 2008, and restored by 28 August 2008.",,,1998,,54.11161360413867,-6.357771355260859
1435,Kilcooley Garden of Reflection,"Dedicated to the memory of those who gave their lives in wars, conflicts and the ?Troubles?. The memorial also includes three memorial stones dedicated to the UDA, Red Hand Commando, and the UVF.
 Person(s) commemorated",,"A memorial enclosure with a rear wall containing three plaques, immediately in front of which are three memorial stones.",Numerous inscriptions,"Kilcooley Estate, Bangor.  County Down, Northern Ireland. BT",,,,"Civilian, Loyalist, UDA, RHC, UVF",Memorial Garden,"Stone Marble, Brick; Hard Landscapping",Street,Public Unrestricted,,,,October 2009,There was criticism in the media of the fact that public money was spent by the Housing Executive and the Department of Social Development on landscaping the area and building the Garden of Reflection only for three Loyalist Paramilitary plinths to be added to the site prior to its unveiling.,54.65076424869773,-5.700039869108994
1436,Andrew Mason Mural (Lisburn),"UDA member Andrew Mason who died in a fight on 19th April 1987.
 Person(s) commemorated",19 April 1987,Mural designed on two panels attached to a gable wall.,Dedication.,"Hillhall Gardens, Hillhall, Lisburn,  County Antrim, Northern Ireland. BT28 ???",Close to the junction of Hillhall Gardens and Ashmount Park.,IJ278642,,"Paramilitary, Loyalist, UDA",Mural,"Wood, Paint",Street,Public Unrestricted,,,,,Andrew Mason is not listed in Sutton's Index of Deaths.,54.51053922471527,-6.027578424008294
1437,Rowntree and McAlinden Memorial (NVTD),"Colman Rowntree and Martin McAlinden, both members of the Official Irish Republican Army (OIRA), who were shot dead by British Army soldiers after being captured with bomb making materials.
 Person(s) commemorated",15 May 1974,Memorial stone with illustrations.,Inscription in English.,"Newry Cemetery, Warrenpoint Road, Newry,  County Down, Northern Ireland. BT34 ???",The entrance to the cemetery is at the junction of Warrenpoint Road and Old Warrenpoint Road.  The Republican Plot is close to the main gate (straight ahead about 15 metres on the left).,IJ091252,,"Paramilitary, Republican, OIRA","Other, Republican Plot",Stone,Cemetery,Private Restricted (viewable when cemetery open),"The memorial was moved to its current location in St Mary's Cemetery, Newry, following vandalism at its original location in Chapel Lane, Newry.",Official Republican Movement,,,No visit to memorial. Information and photograph courtesy of George McDonald.,54.164191702403244,-6.330854097075866
1438,Raymond McCreesh Park,"IRA Hunger Striker Raymond McCreesh who died in 1981.
 Person(s) commemorated",21 May 1981,A childrens playground / play park which was named after Raymond McCreesh in 2001 following a decsion by Newry and Mourne District Council. Following redevelopment of the park a decision was taken on 3 December 2012 to retain the name of the park. This decision provoked criticism from unionists. On 7 March 2013 it was announced that the Equiality Commission would formally investigate the naming decision.,n.a.,"Raymond McCreesh Park, Patrick Street, Newry,  County Down, Northern Ireland. BT35","At the junction of Patrick Street and Barcroft Park, Newry.",IJ081263,,"Paramilitary, Republican, IRA","Other, Playground",,Children's playground.,"Public, open duing daytime.",The naming of the children's playground after one of the Republican Hunger Strikers continues to attrack criticism.,Named after McCreesh following a decision by Newry and Mourne District Council.,,,No visit to site. Photograph courtesy of Google StreetView until replacement photographs can be obtained.,54.174901738726135,-6.3451713127933225
1439,Kevin Heatley Plaque,"Kevin Heatley
 Person(s) commemorated",28 February 1973,A stone plaque bearing an inscription. Plus a smaller plaque with a picture of the victim which was added in 2023.,"IN MEMORY OF |  KEVIN HEATLEY, | AGED 12 WHO WAS SHOT BY A | BRITISH SOLDIER | ON THE 28TH FEB. 1973.","Junction of Main Avenue and Third Avenue Derrybeg Newry  County Down, Northern Ireland. BT35 6HA","Attached to a garden wall, at the junction of Main Avenue and Third Avenue.",,,Civilian,Plaque,Stone,Street,Public,,,,,(Memorial not yet visited. Photograph downloaded from Newry.IE),54.18564454375912,-6.354776227168202
15,Patrick Kelly Memorial Park - (nvtd),"Patrick Kelly the only Irish soldier to died in the conflict.
 Person(s) commemorated",16 December 1983,Park includes memorial stone; also includes children's playground.,,"Patrick Kelly Memorial Park, STREET NAME?, Moate,  County Westmeath, Republic of Ireland. n.a.",On the N6 east of Athlone.,,,"Other, Irish Security","Plaque, ?","Stone, Plants, hard landscaping","Other, Forest?",Public Unrestricted,,Westmeath County Council,,16 December 2008,"The memorial park was unveiled in a ceremony to mark the 25th anniversary of the killing of Patrick Kelly, then an Irish soldier, during a shoot-out with members of the IRA who were holding kidnap victim Don Tidy.  Also killed was Gary Sheehan a newly recruited member of the Garda Siochana. (Irish Times, 17/12/2008)",,
16,Republican Plot Leique Cemetery - (nvtd),"Republican Hunger Strikers Michael Gaughan and Frank Stagg.
 Person(s) commemorated",03 June 1974,,,"Leique Cemetery, STREET NAME??, Ballina,  County Mayo, Republic of Ireland. n.a.",Republican Plot Leique Cemetery.,,,"Paramilitary, Republican, IRA","Other, Republican Plot, Monument",,Cemetery,,,National Graves Association,,,"Frank Stagg died on 12 February 1976 and his body was buried under concrete by the Garda Special Branch in Leigue Cemetery, Ballina, County Mayo, but not in the Republican Plot. A few months later the IRA reinterred Frank Stagg in the Republican Plot beside Michael Gaughan.",,
1600,Scots Guards Plaque (St Andrew's),"Scots Guardsmen, of the British Army, who died on active service in Northern Ireland or Britain.
 Person(s) commemorated",,Large stone plaque,Dedication and list of names.,"St Andrew's Metropolitan Cathedral, 90 Dunlop Street, Glasgow,  Lanarkshire, Scotland. G1 4ER",Plaque is on an internal wall immediately on the left of the main entrance doors to the Cathedral.,,,British Security,Plaque,Stone Slate,Building Interior,Private Restricted (only viewable when Cathedral is open to the public),,,,,,,
17,Duleek Hunger Strike Memorial,"The 22 Republicans who died on Hunger Strike from 1971 to 1981.
 Person(s) commemorated",05 May 1981,"Wall containing plaque with the 1916 Proclamation; either side of the wall are two memorial stones ('headstones'), the one on the left has the names of the 22 Republican Hunger Strikers, the other one is dedicated to three Republicans",,"Station Road, Duleek,  County Meath, Republic of Ireland. n.a.",,IO047691,,"Paramilitary, Republican, IRA, INLA, and Civilian",Memorial Enclosure,Stone Granite,Street,Public Unrestricted,,DULEEK 1916-1981 MONUMENT COMMITTEE,,15 June 2008,,53.66134187975295,-6.41710321317244
1700,The Linen Memorial,"All those who were killed in the Northern Ireland conflict. The memorial is based on the list of names that appears in 'Lost Lives'.
 Person(s) commemorated",11 June 1966,"""The Linen Memorial is an on-going site conscious memorial installation which seeks to re-narrate the 3,721 deaths which occurred during ?the troubles? in Northern Ireland. An intimate, yet public, monument to those killed, The Ulster or Irish Linen Memorial is created on white, linen squares or handkerchiefs, with the names initially printed (2001), then overstitched with embroidery (2004-2009), and more recently work has started (2010) to stitch the first names with hair. The names of the dead are based on the list published in the book ?Lost Lives?. The physical layout of the linen squares changes with each exhibition venue.  The piece has been shown in the USA, Australia, Northern Ireland, and Canada. The memorial was originally funded by a visual art grant from the Canada Council for the Arts, in February 2001; additional funding since that year is listed on the Web site devoted to the piece:
http://www.linenmemorialcommunity.org/
The Linen Memorial is displayed in association with audio recordings of the names of the dead being read. A soundscape of a complete 'compressed and randomised' Names Reading during which all the names are read on 2 or 4 channels (speakers) within 40 minutes in total. 
Part 1 - 20 minutes 
http://www.youtube.com/watch?v=n2zuCBZHaN8&feature=related
Part 2 - 20 minutes 
http://www.youtube.com/watch?v=XGp1z6EXPdw&feature=related
The audio was produced by Lycia Trouton DCA (visual art) in collaboration with Stephen Perrett PhD (psycho-acoustics - audio localisation). The names are those listed in 'Lost Lives' and they were randomised for recording. The readers, formerly from Northern Ireland or the Republic of Ireland, who live in Australia and Canada, were: Aidan Moore, Jim Clinton, Robert Trouton, Margaret Barman, Tania and Conor Bradley, Isabel Truesdale, Lizz Murphy and Delores O'Riordan. (The You Tube clips are best listened to using headphones.)""",Each linen square (handkerchief) contains 10 names which were originally printed onto the piece in 2001 and then overstitched with chain stitch during the years 2004-2009.,"Portneuf near Quebec City  Quebec, Canada.",See the Web site for informaiton on where the memorial is being exhibited: http://www.linenmemorialcommunity.org/,,,Civilian,"Other, Installation","Cloth, Linen",Building Interior,Public Restricted (only viewable when it appears at an exhibtion).,"The piece has been shown in the USA, Australia, Northern Ireland, and Canada. It continues to tour. When not on tour the piece is held with the artist either in British Columbia, Canada or in Quito, Ecuador.",,Lycia Trouton,2001,"There is more information at the following Web site:  http://www.linenmemorialcommunity.org/ 
See also: Trouton, Lycia Danielle. (2007). 'The Linen Memorial', Humanities Research Vol XIV. No.2. (http://epress.anu.edu.au/hrj/2007_02/pdf/ch06.pd)",,
18,"The Coombes, Gallagher, McCormick Memorial Garden","Three Republicans who lived in the local area.
 Person(s) commemorated",,Medium-sized memorial garden bounded by a low wall and gates at the front and wooden fence on othe three sides. A memorial stone ('headstone') to the three Republicans has been placed next to the back wall of the monument containing a plaque with the 1916 Proclamation.,,"Station Road, Duleek,  County Meath, Republic of Ireland.",,,,"Paramilitary, Republican, IRA, INLA, and Civilian",Memorial Garden,Stone Granite,Road,Public Unrestricted,,Duleek 1916-1981 Independent Republican Commemoration Committee,,15 June 2008,The three Republican commemorated in the garden did not died as a result of the conflict. The memorial garden is the site of the Duleek Hunger Strike Monument.,,
19,Hunger Strike Memorial (Portlaoise Cemetery) - (nvtd),"The ten Republican Hunger Strikers who died in 1981.
 Person(s) commemorated",05 May 1981,,,"Republican Plot??, Portlaoise Cemetery, STREET NAME??, Portlaoise,  County Laois, Republic of Ireland. n.a.",,,,"Paramilitary, Republican, IRA","Other, Republican Plot, Monument",,Cemetery,,,,,2001,Unveiled to mark the 20th anniversary of the Hunger Stike in 1981.,,
2,Dublin and Monaghan Bombings Memorial (Glasnevin Cemetery),"The 33 victims of the four bombings that took place in Dublin and Monaghan on 17 May 1974.
 Person(s) commemorated",17 May 1974,Small single-sided inscribed stone slab containing a dedication to the victims. A small slab of roughly cut granite (??) with one prepared face containing the dedication.,,"Glasnevin Cemetery, Finglas Road, Dublin,  County Dublin, Republic of Ireland. n.a.",Located close to the main entrance to Glasnevin Cemetery.  Go through the main entrance on Finglas Road then turn to the left and pass the Chapel building and then approach the monument to Charles Stewart Parnell. The Dublin and Monaghan Bombings Memorial is on the right.,IO144372,"This monument has been in two previous locations.  The memorial was first unveiled by Michael Donnelly, then lord mayor of Dublin, in May 1991 and was originally sited close to the Garden of Remembrance in Parnell Square.  The monument was then moved to Cathal Brugha Street before finally being moved to Glasnevin Cemetery in 2002 (??)",Civilian,Memorial Stone,Stone Granite (??),Cemetery,Public Restricted,A larger memorial to the victims of the Dublin and Monaghan bombings was unvelied on Talbot Street in the centre of Dublin on 26 September 1997.  See monument no.1.,Justice for the Forgotten,,01/05/1991,"Glasnevin Cemetery is also known as Prospect Cemetery.  Saturday, 7 September 2002 at 1.30pm
The Lord Mayor of Dublin, Councillor Dermot Lacey, attended an interdenominational ceremony of blessing and dedication in Glasnevin Cemetery to mark the opening of a Memorial Garden for victims of the Dublin & Monaghan Bombings of 17 May 1974 and of the earlier bombings in Dublin on 1 December 1972 and 20 January 1973. Dublin City Council has funded the Memorial Garden which was designed and landscaped by the Cemetery Board.",53.37327410511336,-6.281139578526526
20,Patsy Lee Memorial - (nvtd),"Republican Patsty Lee.
 Person(s) commemorated",,,,"Crosskeys Cemetery, STREET NAME??, Crosskeys,  County Cavan, Republic of Ireland. n.a.",Up the steep climb from Crosskeys village to the local church and graveyard.,,,"Paramilitary, Republican, IRA","Other, Cross, Celtic Cross and Memorial Stone",,Cemetery,,,,,8 June 2008,Patsy Lee did was not killed in the conflict. Memorial unveiled by Caoimhghín Ó Caoláin TD,,
200,Bloody Sunday Memorial,"The thirteen people killed by the British Army on 30 January 1972, and the injured person who later died from wounds.
 Person(s) commemorated",30 January 1972,"Obelisk on plinth sitting on raised circular platform. Later surrounded by metal railings and wall to form a small enclosure.  Within enclosure is a raised information board, and a bench.  Entrance by a double gate (unlocked).",Inscriptions on the obelisk and the plinths.,"Rossville Street, Bogside, Derry,  County Derry, Northern Ireland. BT48 6LP","On east side of Rossville Street by Joseph Place, not far from Free Derry Corner.  Left-hand side of Rossville Street when facing Free Derry Corner.",IC432168,,Civilian,"Other, Obelisk","Stone Limestone, Metal Iron",Street,Public Restricted (gate usually unlocked),Scene of annual commemoration by family members on each anniversary of the date (30 January).  Scene of annual march and rally (closest Sunday to 30 January each year) to commemorate the dead.  The original obelisk and plinth which stood on a raised platform are now also enclosed in a small 'garden of remembrance'.  The monument is currently (2007) regularly visited by tourists to the city who follow a walking tour of the Bogside.,Northern Ireland Civil Rights Association (NICRA),,26 January 1974,The memorial is located close to the spot where the people were killed.,54.99661110713222,-7.325359323795137
201,Sammy Devenny Plaque,"The death of Samuel Devenny following a beating by RUC officers.
 Person(s) commemorated",19 April 1969,Freestanding perspex / plastic rectangular-shaped plaque on a metal stand.,Single inscription.,"William Street, Bogside, Derry,  County Derry, Northern Ireland. BT48",On north side of William Street close to the junction with Rossville Steet.  Plaque is at the edge of the pavement next to a car park.,IC432170,(Believed to have been at a nearby location on the same street.),Civilian,Plaque,"plastic, wood, metal",Street,Public Unrestricted,,Friends of 69,,1999,Sammy Devenny was injured on 19 April 1969 and died from his injuries on 17 July 1969. The memorial is located close to the spot where Devenney was killed.,54.998654987921405,-7.324606228130842
202,INLA Memorial (Rossville Street),"Three INLA members: Colm McNutt (19 Dec 1977); Patrick Phelan (21 Jan 1994); Dermot McShane (13 Jul 1996).
 Person(s) commemorated",19 December 1977,Large oval-shaped marble plaque inclined on oval stone plinth; with two flagepoles; inside small enclosure; separated from pavement with metal railings and a small gate.,Single inscription.,"Rossville Street, Bogside, Derry,  County Derry, Northern Ireland. BT48",At the south-west corner of Rossville Street and William Street (opposite The Bogside Artists' studio).,IC433169,,"Paramilitary, Republican, INLA","Plaque, on Stone Plinth","Stone Marble, Metal Iron",Street,Public Unrestricted,,"""Erected by their families, friends, and comrades""",,2003? 1998?,Only two of the people commemorated are listed in Sutton's Index.,54.998336975451345,-7.323955297407888
203,Hunger Strike Mural (Kells Walk),"The Hunger Strikes by Republican prisoners, the first in 1980 and the second in 1981.
 Person(s) commemorated",05 May 1981,Large painted wall mural on the gable wall of a maisonnette. (The mural commemorates the hunger strikes of 1981 and 1981 but does not feature those who died.),No Inscriptions,"Rossville Street (Kells Walk), Bogside, Derry,  County Derry, Northern Ireland. BT48 9DP","On gable wall of maissonnette, just off Rossville Street, close to the junction of Rossville Street and William Street.  Not far from the Bloody Sunday monument.",IC432169,,"Paramilitary, Republican, IRA",Mural,Paint,Street,Public Restricted.  (On gable wall of maisonnette; within private garden; viewable from street.),This mural suffered some damage when vandals smashed two bottles of paint against it in 2006.,The Bogside Artists,The Bogside Artists,25 July 2000,The mural depicts Raymond McCartney who took part in the hunger strikes but did not die.  The Bogside Artists decided to feature McCartney because he is from Derry and also because an iconic photograph of him appeared in the media at the time of the hunger strikes.,54.99757078206862,-7.325093208644387
204,Hunger Strike Plaque (Kells Walk),"The 10 people who died during the 1981 hunger strike.
 Person(s) commemorated",05 May 1981,Metal plaque on a wooden base which was added to the gable wall featuring the Hunger Strike Mural.,This Mural Is Dedicated To | The H Block / Armagh Prison Struggle | And In Memory Of | Bobby Sands |,"Rossville Street (Kells Walk), Bogside, Derry,  County Derry, Northern Ireland. BT48 9DP","On gable wall of maissonnette, just off Rossville Street, close to the junction of Rossville Street and William Street.  Not far from the Bloody Sunday monument.",IC432169,,"Paramilitary, Republican, IRA",Plaque,Metal and wood,Street,Public Restricted.  (On gable wall of maisonnette; within private garden; viewable from street.),A number of years following the unveiling of the Hunger Strike Mural (see monument no.203) this plaque was added to the gable wall containing the mural.,,,2005,"This plaque was added to the gable wall containing the hunger strike mural, without the knowledge of The Bogside Artists.",54.99757078206862,-7.325093208644387
205,Charles Love Plaque (on Running mural),"Charles Love, who was killed when he was hit by flying debris when an IRA bomb was detonated which was intended for an RUC / British Army patrol.
 Person(s) commemorated",,Medium-sized stone plaque incorportated into a later large painted wall mural on the gable wall of a maisonnette.,Single inscription,"Rossville Street, Bogside, Derry,  County Derry, Northern Ireland. BT48","On gable wall of maissonnette, just off Rossville Street, close to the junction of Rossville Street and Fahan Street.  Near to Free Derry Corner.",IC431168,,Civilian,Plaque,Stone Marble,Street,Public Restricted.  (On gable wall of maisonnette; within private garden; viewable from street.),The wall on which the plaque is positioned was later used for a large mural by The Bogside Artists (see Memorial ID No.206).,The family of Charles Love,,1999?,The mural was painted on a wall that already contained a stone plaque set into the wall above head height.  The mural incorporates a panel depicting Charles Love and Manus Deery (see Memorial ID No.206).,54.99668746695199,-7.3261705400078245
206,Deery and Love Portraits (on 'Running' mural),"Manus Deery who was killed by the British Army on 19 May 1972 and Charles Love who was killed when he was hit by flying debris when an IRA bomb was detonated which was intended for an RUC / British Army patrol.
 Person(s) commemorated",30 January 1972,"Portraits of Manus Deery and Charles Love in an insert panel, painted as part of a large wall mural on the gable wall of a maisonnette.",No Inscription.,"Rossville Street, Bogside, Derry,  County Derry, Northern Ireland. BT48","On gable wall of maissonnette, just off Rossville Street, close to the junction of Rossville Street and Fahan Street.  Near to Free Derry Corner.",IC431168,,Civilian,Mural,Paint,Street,Public Restricted.  (On gable wall of maisonnette; within private garden; viewable from street.),,The Bogside Artists,The Bogside Artists,,The mural was painted on a wall that already contained a stone plaque set into the wall above head height.  The plaque is dedicated to Charles Love.,54.99668746695199,-7.3261705400078245
209,Bloody Sunday Mural,"The thirteen people killed by the British Army on 30 January 1972, and the injured person who later died from his wounds.
 Person(s) commemorated",30 January 1972,Large painted wall mural on the gable wall of a maisonnette.,No Inscription.,"Rossville Street (Lisfannon Park), Bogside, Derry,  County Derry, Northern Ireland. BT48 9DU","On gable wall of maissonnette, just off Rossville Street, close to the junction of Rossville Street and Fahan Street.  Near to Free Derry Corner.",IC431167,,Civilian,Mural,Paint,Street,Public Restricted.  (On gable wall of maisonnette; within private garden; viewable from street.),"The mural has been re-touched to repair weather damage, also some amendments were made to the original mural.",The Bogside Artists,The Bogside Artists,1999,,54.99613517532383,-7.32700791146798
21,Fullerton Dam - (nvtd),"Sinn Fein member Eddie Fullerton.
 Person(s) commemorated",25 May 1991,The former Pollan Dam was renamed the Fullerton Dam following his killing in 1991.,,"Fullerton Dam, Buncrana,  County Donegal, Republic of Ireland.",,IC444350,,"Civilian, Political Activist, Sinn Fein","Other, Dam",,"Other, Reservoir",,,,,,++ NEED TO ARRANGE ACCESS ++ Photograph is a temporary one gathered from the Web.,55.15997753641157,-7.304545207812433
211,Annette McGavigan Mural (Death of Innocence),"Annette McGavigan (14)  who was shot dead by British Soldiers.
 Person(s) commemorated",06 September 1971,Large painted wall mural on the gable wall of a maisonnette.,No Inscription.,"Lecky Road (Lisfannon Park), Bogside, Derry,  County Derry, Northern Ireland. BT48 6LP",On gable wall of maisonnette on Lecky Road at junction with Westland Street.  Close to Free Derry Corner.,IC431166,,Civilian,Mural,Paint,Street,Private Restricted.  (On gable wall of maisonnette; within private garden; viewable from street.),"Following the unveiling a plaque (see monument no.212) was added to the mural, without the knowledge of The Bogside Artists.",The Bogside Artists and McGavigan family.,The Bogside Artists,2001,,54.99525538199027,-7.327100765575736
212,Annette McGavigan Plaque,"Annette McGavigan (14)  who was shot dead by British Soldiers.
 Person(s) commemorated",06 September 1971,Plaque added to the large painted wall mural of Annette McGavigan (monument no.211) on the gable wall of a maisonnette.,Single short inscription.,"Lecky Road (Lisfannon Park), Bogside, Derry,  County Derry, Northern Ireland. BT48 6LP",On gable wall of maisonnette on Lecky Road at junction with Westland Street.  Close to Free Derry Corner.,IC431166,,Civilian,Plaque,Metal Plaque,Street,Private Restricted.  (On gable wall of maisonnette; within private garden; viewable from street.),Following the unveiling of the mural (see monument no.211) the plaque was added to the wall.,,,2006?,"The plaque was added to the mural, without the knowledge of The Bogside Artists.",54.99525538199027,-7.327100765575736
213,Bloody Sunday Commemoration Mural,"The thirteen people killed by the British Army on 30 January 1972, and the injured person who later died from wounds.
 Person(s) commemorated",30 January 1972,Large painted wall mural on the gable wall of a maisonnette.,No Inscription.,"Westland Street, Bogside, Derry,  County Derry, Northern Ireland. BT48",Junction of Westland Street and Lecky Road.  Opposite the Bogside Inn.  Not far from Free Derry Corner.,IC430166,,Civilian,Mural,Paint,Street,Public Restricted.  (On gable wall of maisonnette; within private garden; viewable from street.),"The mural has been re-touched to repair weather damage, also some minor amendments were made to the original mural.",The Bogside Artists,The Bogside Artists,1975?,,54.99503506849896,-7.327870045760853
214,Manus Deery Plaque,"A 15 year old boy Manus Deery who was shot dead by the British Army in the Bogside area of Derry in 1972.
 Person(s) commemorated",19 May 1972,Rectangular stone plaque containing inscription and photograph of the victim.,,"Westland Street, Bogside, Derry,  County Derry, Northern Ireland. BT48","On the side wall of The Bogside Inn, close to the junction of Westland Street and Lecky Road.",IC430166,,Civilian,Plaque,Stone Granite,Street,Public Unrestricted,,Family,,,The plaque is sited close to the spot where Manus Deery was shot.,54.99497279966774,-7.327980457153584
215,Brian Coyle Plaque,"IRA member Brian Coyle killed in 1976.
 Person(s) commemorated",30 June 1976,Oval-shaped inscribed stone plaque.,Single short inscription.,"Drumcliffe Avenue, Bogside, Derry,  County Derry, Northern Ireland. BT48",Just off Meenan Square / Lecky Road. Not far from the Bogside Inn.,IC430166,,"Paramilitary, Republican, IRA",Plaque,Stone Granite,Street,Public Unrestricted,,Republican Movement / Derry Republican Graves Committee,,,The plaque is located close to the spot where the death occurred.,54.99512116961607,-7.3288216912729975
216,Patsy O'Hara Mural (Meenan Square),"Hunger Striker Patsy O'Hara who died in 1981.
 Person(s) commemorated",21 May 1981,Painted street mural,,"Meenan Square, Lecky Road, Bogside, Derry,  County Derry, Northern Ireland.","On west side of Lecky Road, close to Bogside Inn, and close to the bottom of the 'fly-over' road that joins Lecky Road.",IC431165,,"Paramilitary, Republican, INLA",Mural,Paint,Street,Public Unrestricted,,IRSP?,,2007,,54.9948166521286,-7.327358098668612
217,Sean Keenan Memorial,"Sean Keenan, his wife Nancy and son Colm. (Only Colm Keenan listed in Sutton's database.)
 Person(s) commemorated",14 March 2007,"Celtic cross, on inscribed plinth, on circular platform with small set of stone stairs.",Inscription in Irish on one side and in English on the opposite side.,"Fahan Street, Bogside, Derry,  County Derry, Northern Ireland. BT48 6AQ",At the side of the road close to the junction of Fahan Street and Rossville Street.  Near to Free Derry Corner.,IC432167,,"Paramilitary, Republican, IRA","Other, Cross, Celtic Cross",Stone Limestone?,Street,Public Unrestricted,,32 County Sovereignty Committee,,1998,Although Sean Keenan was not a victim of the conflict the monument includes a reference to his son Colm Keenan who was killed while 'on active service' on behalf of the IRA.,54.99568062921374,-7.326031174984375
218,H-Block / Hunger Strike Memorial,"Those Republican prisoners who died on hunger strike in 1981 and in earlier years.
 Person(s) commemorated",12 February 1976,"Central feature is a large stone monument in the shape of a 'H' to signify the H-Blocks at the Maze Prison (formerly Long Kesk Prison). Also two plaques, one either side of the main monument.",Several inscriptions on the monument and two plaques.,"Rossville Street, Bogside, Derry,  County Derry, Northern Ireland. BT48",Situated on a grass traffic island at the junction of Rossville Street and Fahan Street.  Close to Free Derry Corner.,IC432167,,"Paramilitary, Republican, IRA","Other, Installation, 'H'-Shaped, and Memorial Tablet",Stone Granite,Street,Public Unrestricted,Scene of regular commemoration events associated with the 1981 hunger strikes; including the 25th anniversary in 2006.,Republican Movement / Derry Republican Graves Committee,,2000,In addition to commemorating the 1981 hunger strike the monument also lists those Republicans who died while on hunger strike during the 20th century.,54.996329143501875,-7.326348420843785
219,IRA Memorial (Rossville Street),"18 IRA members who were killed in parts of Derry were individual plaques could not be erected.  (Only 10 of these deaths are listed in Sutton's Index.)
 Person(s) commemorated",,Large block of granite on low stone plinth.,Inscriptions on all four faces of the memorial stone.,"Rossville Street, Bogside, Derry,  County Derry, Northern Ireland. BT48",Situated on a grass traffic island at the junction of Rossville Street and Fahan Street.  Close to Free Derry Corner.,IC432167,,"Paramilitary, Republican, IRA",Memorial Stone,Stone Granite,Street,Public Unrestricted,,Republican Movement / Derry Republican Graves Committee,,Sunday 12 October 2003,"The Derry Republican Graves Association has erected a series of individual oval-shaped plaques (described in this database) at the locations were IRA volunteers died.  However, there are a number of locations, outside of 'republican areas', where it was not considered possible to place plaques.  In these instances the IRA volunteers are listed on this monument at Rossville Street. ""The project commenced on 28 May 2001.""",54.996195194015414,-7.326491289018391
